row_type,plot_group,dataset,task,label_level,tagging_scheme,method_id,method_label,model,k_shot,split_seed,eval_split,metric_name,metric_label,metric_value,metric_value_percent,n_scores,expected_scores,completed_scores,score_source,status,is_placeholder,needs_more_runs,source_path,notes,last_updated
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,5,42,test,span_strict_f1,Strict span F1,0.3426322491029054,34.26322491029054,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,5,142,test,span_strict_f1,Strict span F1,0.3703490049033747,37.03490049033747,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,5,242,test,span_strict_f1,Strict span F1,0.3796399751707014,37.96399751707014,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,10,42,test,span_strict_f1,Strict span F1,0.5172511046347653,51.72511046347653,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,10,142,test,span_strict_f1,Strict span F1,0.5131603165838395,51.31603165838396,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,10,242,test,span_strict_f1,Strict span F1,0.4790714677389874,47.90714677389874,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,20,42,test,span_strict_f1,Strict span F1,0.6622666087711681,66.2266608771168,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,20,142,test,span_strict_f1,Strict span F1,0.5539269677200712,55.39269677200712,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,20,242,test,span_strict_f1,Strict span F1,0.6179086434677489,61.79086434677489,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,50,42,test,span_strict_f1,Strict span F1,0.7348066298342543,73.48066298342543,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,50,142,test,span_strict_f1,Strict span F1,0.7605535729828531,76.05535729828532,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,50,242,test,span_strict_f1,Strict span F1,0.7256513376464416,72.56513376464416,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,5,42,validation,span_strict_f1,Strict span F1,0.4853023359785403,48.53023359785404,1,3,1,validation,placeholder,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k5_seed42/pattern_01_xe_verbalized_final2000/training_summary.json,Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,5,142,validation,span_strict_f1,Strict span F1,0.445562262463671,44.5562262463671,1,3,1,validation,placeholder,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k5_seed142/pattern_01_xe_verbalized_final2000/training_summary.json,Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,5,242,validation,span_strict_f1,Strict span F1,0.4473498233215548,44.73498233215548,1,3,1,validation,placeholder,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k5_seed242/pattern_01_xe_verbalized_final2000/training_summary.json,Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,10,42,validation,span_strict_f1,Strict span F1,0.5517988729952319,55.17988729952319,1,3,1,validation,placeholder,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k10_seed42/pattern_01_xe_verbalized_final2000/training_summary.json,Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,10,142,validation,span_strict_f1,Strict span F1,0.5300159780871947,53.00159780871947,1,3,1,validation,placeholder,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k10_seed142/pattern_01_xe_verbalized_final2000/training_summary.json,Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,10,242,validation,span_strict_f1,Strict span F1,0.5142267094997706,51.42267094997705,1,3,1,validation,placeholder,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k10_seed242/pattern_01_xe_verbalized_final2000/training_summary.json,Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,20,42,validation,span_strict_f1,Strict span F1,0.6530738337967252,65.30738337967253,1,3,1,validation,placeholder,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k20_seed42/pattern_01_xe_verbalized_final2000/training_summary.json,Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,20,142,validation,span_strict_f1,Strict span F1,0.6139226991244928,61.39226991244928,1,3,1,validation,placeholder,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k20_seed142/pattern_01_xe_verbalized_final2000/training_summary.json,Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
