row_type,plot_group,dataset,task,label_level,tagging_scheme,method_id,method_label,model,k_shot,split_seed,eval_split,metric_name,metric_label,metric_value,metric_value_percent,n_scores,expected_scores,completed_scores,score_source,status,is_placeholder,needs_more_runs,source_path,notes,last_updated
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,5,42,test,span_strict_f1,Strict span F1,0.4919296053316672,49.19296053316673,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k5_seed42_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,5,142,test,span_strict_f1,Strict span F1,0.4443981240229286,44.43981240229286,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k5_seed142_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,5,242,test,span_strict_f1,Strict span F1,0.4742630884293885,47.42630884293884,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k5_seed242_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,10,42,test,span_strict_f1,Strict span F1,0.5576804441702653,55.76804441702653,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k10_seed42_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,10,142,test,span_strict_f1,Strict span F1,0.5442928308425384,54.42928308425385,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k10_seed142_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,10,242,test,span_strict_f1,Strict span F1,0.5135369287416072,51.35369287416071,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k10_seed242_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,20,42,test,span_strict_f1,Strict span F1,0.6500294753389663,65.00294753389663,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k20_seed42_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,20,142,test,span_strict_f1,Strict span F1,0.6280740815706912,62.80740815706912,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k20_seed142_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,20,242,test,span_strict_f1,Strict span F1,0.5748454444106618,57.48454444106618,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k20_seed242_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,50,42,test,span_strict_f1,Strict span F1,0.7191267204556241,71.9126720455624,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k50_seed42_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,50,142,test,span_strict_f1,Strict span F1,0.7276923076923077,72.76923076923077,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k50_seed142_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
